Date,Description,Amount,Category
2025-10-17,transaction at hotstar,271.2,Entertainment
2025-06-21,transaction at indigo,18720.15,Travel
2025-12-14,transaction at apollo pharmacy,15857.73,Healthcare
2025-10-02,transaction at a2b,606.98,Food
2025-06-01,transaction at taco bell,866.89,Food
2025-09-24,transaction at uber,930.7,Transport
2025-06-12,transaction at indigo,19578.06,Travel
2025-05-27,transaction at croma,102800.65,Electronics
2025-05-15,transaction at us polo,7247.1,Clothing
2025-04-29,transaction at dmart,1809.33,Grocery
2025-11-24,transaction at ajio,3187.72,Online Shopping
2025-11-03,transaction at biba,4245.61,Clothing
2025-05-08,transaction at nykaa,16580.74,Online Shopping
2025-11-28,transaction at irctc,24587.69,Travel
2025-02-15,transaction at goibibo,18246.21,Travel
2025-05-16,transaction at croma,114729.44,Electronics
2025-12-24,transaction at aster,2573.77,Healthcare
2025-11-03,transaction at ajio,12783.42,Online Shopping
2025-05-11,transaction at netmeds,8942.95,Healthcare
2025-01-04,transaction at jio fiber,1317.31,Bills
2025-01-06,transaction at airasia,18249.98,Travel
2025-05-28,transaction at sonyliv,180.09,Entertainment
2025-12-23,transaction at snapdeal,3790.59,Online Shopping
2025-09-09,transaction at amazon,7246.88,Online Shopping
2025-05-12,transaction at boat lifestyle,81586.75,Electronics
2025-09-03,transaction at wrogn,3214.92,Clothing
2025-01-28,transaction at uber,288.69,Transport
2025-07-09,transaction at apollo hospital,14951.4,Healthcare
2025-06-03,transaction at bigbazaar,3397.54,Grocery
2025-07-08,transaction at nilgiris,1139.88,Grocery
2025-08-03,transaction at gaana,342.63,Entertainment
2025-08-15,transaction at tsrtc,892.7,Transport
2025-06-12,transaction at gaana,968.55,Entertainment
2025-01-10,transaction at max fashion,4490.07,Clothing
2025-07-15,transaction at pizza hut,1157.6,Food
2025-12-07,transaction at 1mg,8764.35,Healthcare
2025-01-26,transaction at bmtc,1547.07,Transport
2025-08-28,transaction at ajio,8146.38,Online Shopping
2025-02-05,transaction at meru cabs,1920.03,Transport
2025-10-06,transaction at max fashion,1721.41,Clothing
2025-05-29,transaction at aster,14813.92,Healthcare
2025-05-05,transaction at act fibernet,319.22,Bills
2025-04-27,transaction at water board,2338.4,Bills
2025-09-02,transaction at vivo store,61980.42,Electronics
2025-02-23,transaction at ola,822.4,Transport
2025-02-26,transaction at youtube premium,184.47,Entertainment
2025-10-08,transaction at aster,4255.27,Healthcare
2025-11-14,transaction at pizza hut,565.33,Food
2025-11-04,transaction at bsnl,448.88,Bills
2025-02-17,transaction at apollo pharmacy,18445.07,Healthcare
2025-03-28,transaction at water board,4260.5,Bills
2025-04-16,transaction at chai point,589.68,Food
2025-07-01,transaction at booking.com,27712.34,Travel
2025-06-23,transaction at nykaa,13376.26,Online Shopping
2025-03-17,transaction at 1mg,1134.99,Healthcare
2025-11-25,transaction at cloudnine,12384.61,Healthcare
2025-11-08,transaction at pantaloons,6929.7,Clothing
2025-11-26,transaction at reliance digital,130642.49,Electronics
2025-06-25,transaction at apple store,79777.72,Electronics
2025-11-30,transaction at medplus,3370.27,Healthcare
2025-12-05,transaction at zee5,337.71,Entertainment
2025-07-12,transaction at ajio,4838.78,Online Shopping
2025-06-07,transaction at airasia,5198.69,Travel
2025-06-11,transaction at aha,837.72,Entertainment
2025-05-18,transaction at vivo store,77283.47,Electronics
2025-04-28,transaction at asus store,11685.73,Electronics
2025-10-21,transaction at tsrtc,1439.75,Transport
2025-08-05,transaction at uber,1973.48,Transport
2025-10-06,transaction at nike,4371.85,Clothing
2025-03-02,transaction at medplus,1402.49,Healthcare
2025-10-28,transaction at a2b,1243.48,Food
2025-04-13,transaction at noise,113889.04,Electronics
2025-06-20,transaction at ola,1257.63,Transport
2025-01-30,transaction at zee5,933.54,Entertainment
2025-02-08,transaction at starbucks,651.61,Food
2025-08-09,transaction at fortis,10637.38,Healthcare
2025-03-07,transaction at reliance digital,18244.44,Electronics
2025-08-18,transaction at ola,1887.66,Transport
2025-12-15,transaction at sonyliv,145.96,Entertainment
2025-03-31,transaction at booking.com,12967.17,Travel
2025-06-29,transaction at sony center,62817.88,Electronics
2025-07-29,transaction at biba,4148.95,Clothing
2025-04-30,transaction at jiomart,2506.42,Grocery
2025-11-15,transaction at rapido,228.04,Transport
2025-11-03,transaction at amazon,3452.95,Online Shopping
2025-02-06,transaction at ccd,623.51,Food
2025-07-25,transaction at airasia,9974.99,Travel
2025-08-30,transaction at reliance fresh,1624.5,Grocery
2025-10-11,transaction at pepperfry,14948.76,Online Shopping
2025-11-04,transaction at sonyliv,685.67,Entertainment
2025-03-06,transaction at reliance digital,91984.49,Electronics
2025-05-06,transaction at spencers,4302.88,Grocery
2025-07-05,transaction at ajio,16992.09,Online Shopping
2025-06-20,transaction at pharmeasy,15524.65,Healthcare
2025-08-27,transaction at air india,27984.0,Travel
2025-08-25,transaction at redbus,1324.57,Transport
2025-02-06,transaction at subway,1429.47,Food
2025-09-08,transaction at indigo,7841.59,Travel
2025-12-13,transaction at woodland,7711.86,Clothing
2025-05-06,transaction at ola,1376.98,Transport
2025-02-04,transaction at a2b,563.71,Food
2025-11-02,transaction at hp world,9965.75,Electronics
2025-02-16,transaction at lenskart,2429.44,Online Shopping
2025-12-29,transaction at indigo,19630.5,Travel
2025-06-25,transaction at cream stone,832.44,Food
2025-09-02,transaction at redbus,792.61,Transport
2025-12-22,transaction at amazon,17765.64,Online Shopping
2025-07-30,transaction at gaana,660.53,Entertainment
2025-12-24,transaction at paradise biryani,194.1,Food
2025-06-08,transaction at allen solly,6496.52,Clothing
2025-12-08,transaction at zee5,669.09,Entertainment
2025-04-12,transaction at taco bell,126.15,Food
2025-02-22,transaction at indigo,2297.18,Travel
2025-03-02,transaction at us polo,7251.49,Clothing
2025-09-29,transaction at allen solly,545.49,Clothing
2025-01-08,transaction at h&m,3749.25,Clothing
2025-08-05,transaction at chai point,981.12,Food
2025-07-08,transaction at mi store,89726.7,Electronics
2025-03-09,transaction at nature's basket,525.86,Grocery
2025-02-14,transaction at oneplus,149197.11,Electronics
2025-12-29,transaction at water board,1766.65,Bills
2025-10-25,transaction at a2b,1268.04,Food
2025-11-10,transaction at flipkart,15804.76,Online Shopping
2025-12-22,transaction at tata cliq,709.77,Online Shopping
2025-06-13,transaction at subway,525.91,Food
2025-09-07,transaction at airasia,21491.65,Travel
2025-11-12,transaction at cloudnine,10150.1,Healthcare
2025-11-06,transaction at property tax online,599.75,Bills
2025-12-19,transaction at netflix,890.56,Entertainment
2025-05-21,transaction at yatra,24867.56,Travel
2025-07-11,transaction at wrogn,7653.49,Clothing
2025-04-01,transaction at a2b,1362.74,Food
2025-01-06,transaction at mcdonalds,448.3,Food
2025-08-30,transaction at biba,4150.21,Clothing
2025-12-23,transaction at netflix,825.99,Entertainment
2025-06-27,transaction at ajio,17939.67,Online Shopping
2025-08-04,transaction at adidas,5732.02,Clothing
2025-04-10,transaction at myntra,15843.46,Online Shopping
2025-09-14,transaction at woodland,2849.03,Clothing
2025-09-05,transaction at water board,2133.83,Bills
2025-09-25,transaction at burger king,586.87,Food
2025-11-25,transaction at vivo store,52603.38,Electronics
2025-06-14,transaction at ajio,5364.84,Online Shopping
2025-03-12,transaction at allen solly,6585.16,Clothing
2025-06-21,transaction at spencers,988.93,Grocery
2025-04-30,transaction at reliance fresh,4025.14,Grocery
2025-01-02,transaction at dell exclusive,6757.48,Electronics
2025-08-25,transaction at apollo hospital,9203.48,Healthcare
2025-04-29,transaction at apollo pharmacy,18768.49,Healthcare
2025-11-17,transaction at youtube premium,528.73,Entertainment
2025-10-20,transaction at biba,5811.09,Clothing
2025-03-21,transaction at adidas,729.05,Clothing
2025-03-05,transaction at woodland,630.04,Clothing
2025-09-09,transaction at vivo store,137121.24,Electronics
2025-05-07,transaction at tata cliq,4770.36,Online Shopping
2025-11-01,transaction at oyo,26210.65,Travel
2025-12-04,transaction at bigbazaar,4900.87,Grocery
2025-10-01,transaction at zee5,966.79,Entertainment
2025-01-26,transaction at airasia,17034.33,Travel
2025-04-29,transaction at hp world,79693.95,Electronics
2025-01-04,transaction at woodland,2147.95,Clothing
2025-12-26,transaction at us polo,6107.36,Clothing
2025-02-01,transaction at spencers,912.56,Grocery
2025-03-13,transaction at myntra,9111.71,Online Shopping
2025-03-05,transaction at youtube premium,285.78,Entertainment
2025-09-02,transaction at reliance fresh,2726.01,Grocery
2025-11-18,transaction at kfc,964.0,Food
2025-12-06,transaction at netmeds,1708.26,Healthcare
2025-11-20,transaction at star bazaar,1546.82,Grocery
2025-06-27,transaction at property tax online,748.22,Bills
2025-10-10,transaction at air india,1636.45,Travel
2025-04-17,transaction at property tax online,5176.22,Bills
2025-11-11,transaction at pepperfry,1846.59,Online Shopping
2025-01-18,transaction at 1mg,7689.79,Healthcare
2025-11-27,transaction at airasia,29257.87,Travel
2025-08-03,transaction at aha,477.4,Entertainment
2025-07-30,transaction at goibibo,22699.69,Travel
2025-10-02,transaction at sony center,72060.14,Electronics
2025-02-16,transaction at pizza hut,914.44,Food
2025-09-07,transaction at airasia,5134.83,Travel
2025-06-24,transaction at pepperfry,17582.23,Online Shopping
2025-11-08,transaction at zee5,669.21,Entertainment
2025-06-08,transaction at max fashion,6803.03,Clothing
2025-07-23,transaction at oyo,12058.28,Travel
2025-10-18,transaction at act fibernet,3164.33,Bills
2025-09-12,transaction at cloudnine,3742.91,Healthcare
2025-12-17,transaction at tneb,3166.76,Bills
2025-03-07,transaction at vistara,16120.18,Travel
2025-03-24,transaction at apple music,492.05,Entertainment
2025-01-29,transaction at yatra,23573.49,Travel
2025-02-12,transaction at tsrtc,947.12,Transport
2025-04-03,transaction at nykaa,5859.4,Online Shopping
2025-08-30,transaction at wrogn,7983.18,Clothing
2025-02-25,transaction at puma,3787.78,Clothing
2025-07-25,transaction at irctc,28758.21,Travel
2025-04-12,transaction at spencers,2669.17,Grocery
2025-07-04,transaction at burger king,408.41,Food
2025-06-16,transaction at meru cabs,879.41,Transport
2025-03-17,transaction at h&m,6584.41,Clothing
2025-01-21,transaction at metro rail,1597.44,Transport
2025-05-21,transaction at jio fiber,4999.89,Bills
2025-12-18,transaction at taco bell,1362.75,Food
2025-03-11,transaction at pepperfry,837.29,Online Shopping
2025-08-03,transaction at yulu bikes,333.48,Transport
2025-10-20,transaction at youtube premium,682.0,Entertainment
2025-07-12,transaction at youtube premium,146.61,Entertainment
2025-12-26,transaction at a2b,1259.95,Food
2025-05-29,transaction at aha,261.96,Entertainment
2025-03-25,transaction at ajio,3601.37,Online Shopping
2025-01-08,transaction at aster,9106.46,Healthcare
2025-04-18,transaction at fortis,17117.0,Healthcare
2025-08-14,transaction at airasia,1101.08,Travel
2025-03-30,transaction at reliance fresh,1778.71,Grocery
2025-09-18,transaction at 1mg,11609.84,Healthcare
2025-03-26,transaction at pharmeasy,12366.48,Healthcare
2025-05-09,transaction at dominos,800.74,Food
2025-04-12,transaction at vivo store,95547.02,Electronics
2025-11-28,transaction at pharmeasy,12148.28,Healthcare
2025-04-18,transaction at dell exclusive,9761.08,Electronics
2025-07-16,transaction at croma,26401.86,Electronics
2025-01-01,transaction at taco bell,124.46,Food
2025-12-07,transaction at flipkart,8903.7,Online Shopping
2025-03-17,transaction at ccd,239.53,Food
2025-02-14,transaction at hp world,45459.55,Electronics
2025-12-03,transaction at apollo hospital,16891.8,Healthcare
2025-08-15,transaction at meesho,9092.74,Online Shopping
2025-10-28,transaction at nilgiris,1794.99,Grocery
2025-12-18,transaction at apollo pharmacy,11275.49,Healthcare
2025-06-23,transaction at netmeds,16640.54,Healthcare
2025-04-05,transaction at youtube premium,759.05,Entertainment
2025-03-18,transaction at samsung store,37027.33,Electronics
2025-07-18,transaction at bigbazaar,4407.24,Grocery
2025-05-02,transaction at aha,829.26,Entertainment
2025-01-11,transaction at mcdonalds,683.57,Food
2025-06-04,transaction at bsnl,4274.14,Bills
2025-01-03,transaction at pantaloons,7445.37,Clothing
2025-05-21,transaction at irctc,20596.97,Travel
2025-11-12,transaction at youtube premium,575.9,Entertainment
2025-04-14,transaction at bmtc,544.17,Transport
2025-02-14,transaction at tsrtc,1476.65,Transport
2025-08-07,transaction at vistara,10470.61,Travel
2025-06-06,transaction at samsung store,66239.46,Electronics
2025-07-29,transaction at starbucks,626.89,Food
2025-01-10,transaction at yulu bikes,226.59,Transport
2025-03-15,transaction at zee5,341.31,Entertainment
2025-10-05,transaction at ccd,291.79,Food
2025-03-07,transaction at dell exclusive,90972.17,Electronics
2025-09-19,transaction at bsnl,3557.11,Bills
2025-11-22,transaction at allen solly,7855.06,Clothing
2025-03-10,transaction at max fashion,4193.58,Clothing
2025-08-03,transaction at hotstar,378.12,Entertainment
2025-07-16,transaction at flipkart,15309.14,Online Shopping
2025-12-14,transaction at youtube premium,775.16,Entertainment
2025-08-03,transaction at lenskart,7743.99,Online Shopping
2025-07-30,transaction at nature's basket,2601.82,Grocery
2025-10-08,transaction at netflix,732.13,Entertainment
2025-02-21,transaction at kauvery,14651.58,Healthcare
2025-09-14,transaction at adidas,4632.67,Clothing
2025-08-23,transaction at more supermarket,1046.02,Grocery
2025-11-18,transaction at pizza hut,586.05,Food
2025-08-28,transaction at chai point,993.01,Food
2025-01-18,transaction at reliance digital,98720.47,Electronics
2025-01-08,transaction at apollo pharmacy,15597.99,Healthcare
2025-11-13,transaction at act fibernet,3667.24,Bills
2025-03-13,transaction at yulu bikes,1655.5,Transport
2025-06-10,transaction at hotstar,830.47,Entertainment
2025-09-19,transaction at adidas,5184.66,Clothing
2025-07-20,transaction at medplus,5770.71,Healthcare
2025-10-28,transaction at snapdeal,16937.51,Online Shopping
2025-03-04,transaction at vodafone idea,4469.07,Bills
2025-08-20,transaction at apollo hospital,4069.84,Healthcare
2025-08-13,transaction at air india,3259.32,Travel
2025-04-01,transaction at pepperfry,4551.45,Online Shopping
2025-03-02,transaction at reliance digital,125285.33,Electronics
2025-08-28,transaction at jiomart,2140.18,Grocery
2025-03-10,transaction at water board,1171.01,Bills
2025-12-26,transaction at spencers,4987.43,Grocery
2025-07-02,transaction at yatra,614.88,Travel
2025-03-01,transaction at croma,134562.78,Electronics
2025-10-03,transaction at aha,828.41,Entertainment
2025-09-27,transaction at vistara,21385.23,Travel
2025-06-11,transaction at uber,1898.64,Transport
2025-12-06,transaction at mi store,12651.08,Electronics
2025-08-26,transaction at biba,5571.58,Clothing
2025-05-06,transaction at pharmeasy,11866.49,Healthcare
2025-09-18,transaction at reliance fresh,3451.68,Grocery
2025-07-07,transaction at adidas,2968.69,Clothing
2025-07-12,transaction at subway,698.47,Food
2025-01-15,transaction at myntra,12900.53,Online Shopping
2025-05-29,transaction at property tax online,4085.79,Bills
2025-09-07,transaction at snapdeal,12433.3,Online Shopping
2025-05-05,transaction at tneb,3815.8,Bills
2025-12-06,transaction at uber,1367.86,Transport
2025-11-04,transaction at vistara,4938.58,Travel
2025-11-14,transaction at woodland,3342.81,Clothing
2025-01-25,transaction at meesho,13244.08,Online Shopping
2025-12-31,transaction at kauvery,12259.08,Healthcare
2025-02-23,transaction at apollo hospital,10165.48,Healthcare
2025-04-09,transaction at indigo,16840.72,Travel
2025-11-09,transaction at lenskart,19621.75,Online Shopping
2025-11-02,transaction at apollo pharmacy,17413.55,Healthcare
2025-12-02,transaction at pepperfry,3996.44,Online Shopping
2025-11-28,transaction at dmart,4938.14,Grocery
2025-08-26,transaction at redbus,1758.44,Transport
2025-06-08,transaction at bmtc,1484.81,Transport
2025-10-22,transaction at booking.com,4103.82,Travel
2025-05-02,transaction at pizza hut,1051.71,Food
2025-10-14,transaction at tsrtc,1660.04,Transport
2025-04-25,transaction at redbus,477.79,Transport
2025-08-24,transaction at oyo,4808.63,Travel
2025-03-10,transaction at redbus,317.54,Transport
2025-06-07,transaction at amazon prime,115.61,Entertainment
2025-02-19,transaction at ola,862.35,Transport
2025-10-06,transaction at jio fiber,532.56,Bills
2025-08-19,transaction at tneb,780.34,Bills
2025-07-09,transaction at ola,1043.35,Transport
2025-02-16,transaction at pharmeasy,12699.47,Healthcare
2025-04-30,transaction at asus store,67315.69,Electronics
2025-02-01,transaction at nilgiris,1473.65,Grocery
2025-08-16,transaction at jio fiber,3338.08,Bills
2025-08-18,transaction at tata cliq,13071.67,Online Shopping
2025-11-05,transaction at booking.com,15761.34,Travel
2025-09-11,transaction at a2b,1487.69,Food
2025-01-23,transaction at goibibo,13599.09,Travel
2025-07-20,transaction at mi store,85154.28,Electronics
2025-06-25,transaction at asus store,22550.59,Electronics
2025-08-07,transaction at h&m,3787.79,Clothing
2025-05-03,transaction at paradise biryani,269.94,Food
2025-09-15,transaction at sony center,108546.07,Electronics
2025-04-02,transaction at pizza hut,1219.45,Food
2025-03-15,transaction at zee5,424.28,Entertainment
2025-08-31,transaction at cream stone,656.16,Food
2025-04-14,transaction at irctc,27616.51,Travel
2025-05-16,transaction at act fibernet,292.36,Bills
2025-03-15,transaction at nykaa,677.2,Online Shopping
2025-09-28,transaction at samsung store,29016.44,Electronics
2025-05-19,transaction at starbucks,1300.66,Food
2025-07-30,transaction at biba,6796.93,Clothing
2025-05-06,transaction at lenskart,14397.23,Online Shopping
2025-10-05,transaction at snapdeal,12541.79,Online Shopping
2025-11-19,transaction at nature's basket,1625.7,Grocery
2025-03-13,transaction at zee5,124.01,Entertainment
2025-03-20,transaction at hotstar,507.41,Entertainment
2025-04-18,transaction at tneb,3373.73,Bills
2025-01-13,transaction at zara,3511.95,Clothing
2025-10-17,transaction at snapdeal,10500.52,Online Shopping
2025-05-12,transaction at oneplus,4646.46,Electronics
2025-09-14,transaction at apollo pharmacy,8840.97,Healthcare
2025-06-29,transaction at tata cliq,12847.46,Online Shopping
2025-09-20,transaction at reliance fresh,2591.55,Grocery
2025-12-18,transaction at nilgiris,2470.34,Grocery
2025-01-03,transaction at apple store,140355.9,Electronics
2025-06-08,transaction at us polo,3810.42,Clothing
2025-06-26,transaction at pantaloons,5927.89,Clothing
2025-06-20,transaction at yatra,27128.44,Travel
2025-01-05,transaction at aha,563.83,Entertainment
2025-08-17,transaction at booking.com,24786.87,Travel
2025-03-22,transaction at vodafone idea,4468.43,Bills
2025-12-06,transaction at metro rail,1592.39,Transport
2025-09-27,transaction at noise,53467.25,Electronics
2025-01-20,transaction at amazon prime,672.14,Entertainment
2025-04-03,transaction at tsrtc,372.43,Transport
2025-07-22,transaction at adidas,4964.27,Clothing
2025-06-10,transaction at reliance fresh,4680.79,Grocery
2025-09-26,transaction at reliance fresh,2222.84,Grocery
2025-03-21,transaction at gaana,226.71,Entertainment
2025-07-23,transaction at paradise biryani,818.06,Food
2025-09-08,transaction at nilgiris,1636.19,Grocery
2025-03-16,transaction at croma,82995.77,Electronics
2025-08-10,transaction at metro rail,840.16,Transport
2025-07-01,transaction at tata cliq,16683.59,Online Shopping
2025-08-20,transaction at flipkart,14058.43,Online Shopping
2025-05-13,transaction at samsung store,76876.53,Electronics
2025-05-06,transaction at gas agency,5865.08,Bills
2025-02-25,transaction at rapido,991.44,Transport
2025-11-06,transaction at star bazaar,4684.39,Grocery
2025-12-08,transaction at spotify,363.44,Entertainment
2025-11-29,transaction at cream stone,733.4,Food
2025-12-14,transaction at barbeque nation,784.8,Food
2025-01-11,transaction at taco bell,1197.89,Food
2025-04-29,transaction at more supermarket,598.84,Grocery
2025-02-17,transaction at meesho,17138.98,Online Shopping
2025-01-10,transaction at goibibo,14308.69,Travel
2025-03-19,transaction at barbeque nation,776.36,Food
2025-02-20,transaction at tsrtc,493.69,Transport
2025-11-16,transaction at puma,7927.64,Clothing
2025-05-05,transaction at tata cliq,2771.36,Online Shopping
2025-09-04,transaction at redbus,130.13,Transport
2025-07-13,transaction at booking.com,24788.87,Travel
2025-05-12,transaction at dmart,443.44,Grocery
2025-10-20,transaction at medplus,7505.77,Healthcare
2025-06-12,transaction at puma,2854.41,Clothing
2025-11-05,transaction at dell exclusive,74104.53,Electronics
2025-02-26,transaction at act fibernet,1949.16,Bills
2025-10-31,transaction at aster,15902.96,Healthcare
2025-10-04,transaction at flipkart,19540.87,Online Shopping
2025-08-13,transaction at mcdonalds,390.33,Food
2025-01-06,transaction at fortis,19019.41,Healthcare
2025-07-14,transaction at air india,26944.64,Travel
2025-12-10,transaction at airtel,393.89,Bills
2025-10-18,transaction at bsnl,2015.64,Bills
2025-03-25,transaction at nature's basket,1555.25,Grocery
2025-11-03,transaction at kauvery,8696.86,Healthcare
2025-06-11,transaction at tata cliq,14782.03,Online Shopping
2025-08-26,transaction at chai point,1295.45,Food
2025-10-06,transaction at airtel,5838.45,Bills
2025-02-28,transaction at netflix,733.84,Entertainment
2025-11-08,transaction at chai point,1497.97,Food
2025-05-15,transaction at us polo,7164.67,Clothing
2025-10-09,transaction at aster,14109.93,Healthcare
2025-01-07,transaction at nilgiris,1181.13,Grocery
2025-03-10,transaction at gas agency,453.86,Bills
2025-12-10,transaction at booking.com,11762.66,Travel
2025-06-23,transaction at biba,5977.64,Clothing
2025-07-10,transaction at amazon,18724.54,Online Shopping
2025-07-01,transaction at cloudnine,12613.27,Healthcare
2025-01-16,transaction at act fibernet,562.1,Bills
2025-10-21,transaction at samsung store,61604.27,Electronics
2025-12-25,transaction at jio fiber,3535.3,Bills
2025-11-18,transaction at puma,1109.53,Clothing
2025-02-27,transaction at jiomart,2986.54,Grocery
2025-05-19,transaction at mi store,82868.58,Electronics
2025-03-25,transaction at indigo,16666.71,Travel
2025-10-29,transaction at h&m,4960.58,Clothing
2025-02-27,transaction at tata cliq,17441.97,Online Shopping
2025-12-03,transaction at myntra,9321.1,Online Shopping
2025-10-26,transaction at mcdonalds,271.18,Food
2025-06-12,transaction at hotstar,694.82,Entertainment
2025-11-08,transaction at airtel,3286.39,Bills
2025-11-25,transaction at tneb,2401.19,Bills
2025-04-05,transaction at chai point,218.3,Food
2025-09-26,transaction at netflix,587.47,Entertainment
2025-01-20,transaction at croma,113333.12,Electronics
2025-09-20,transaction at yulu bikes,1774.98,Transport
2025-12-31,transaction at croma,124834.5,Electronics
2025-09-15,transaction at noise,85285.14,Electronics
2025-11-08,transaction at lenskart,13646.56,Online Shopping
2025-07-11,transaction at medplus,14161.43,Healthcare
2025-09-22,transaction at myntra,3079.72,Online Shopping
2025-07-14,transaction at vodafone idea,4628.27,Bills
2025-07-15,transaction at medplus,2205.36,Healthcare
2025-11-14,transaction at myntra,9534.27,Online Shopping
2025-06-03,transaction at nilgiris,2250.07,Grocery
2025-12-08,transaction at bsnl,3567.82,Bills
2025-09-12,transaction at netflix,487.16,Entertainment
2025-10-29,transaction at amazon,14655.62,Online Shopping
2025-12-18,transaction at bigbazaar,2703.56,Grocery
2025-07-17,transaction at gaana,842.74,Entertainment
2025-01-23,transaction at cream stone,241.58,Food
2025-01-28,transaction at lenskart,7056.62,Online Shopping
2025-09-16,transaction at flipkart,3825.15,Online Shopping
2025-11-30,transaction at tata cliq,11028.97,Online Shopping
2025-03-28,transaction at amazon prime,736.11,Entertainment
2025-07-05,transaction at youtube premium,303.91,Entertainment
2025-12-05,transaction at tsrtc,343.06,Transport
2025-02-11,transaction at zara,2061.92,Clothing
2025-10-07,transaction at ola,679.11,Transport
2025-11-20,transaction at flipkart,10771.58,Online Shopping
2025-12-21,transaction at booking.com,28416.93,Travel
2025-11-27,transaction at 1mg,13739.47,Healthcare
2025-11-08,transaction at noise,149809.51,Electronics
2025-10-22,transaction at pharmeasy,18722.74,Healthcare
2025-06-09,transaction at meru cabs,1375.27,Transport
2025-11-28,transaction at tsrtc,1892.13,Transport
2025-11-06,transaction at sony center,51998.8,Electronics
2025-11-26,transaction at pantaloons,5858.06,Clothing
2025-07-08,transaction at vivo store,115944.18,Electronics
2025-03-15,transaction at h&m,1364.47,Clothing
2025-09-23,transaction at ola,1345.14,Transport
2025-06-26,transaction at youtube premium,793.92,Entertainment
2025-07-01,transaction at tsrtc,314.45,Transport
2025-05-07,transaction at mi store,99413.08,Electronics
2025-06-18,transaction at jio fiber,4032.13,Bills
2025-11-14,transaction at sonyliv,940.34,Entertainment
2025-01-12,transaction at aster,10391.15,Healthcare
2025-09-29,transaction at meru cabs,1307.01,Transport
2025-07-14,transaction at youtube premium,799.3,Entertainment
2025-01-20,transaction at allen solly,5466.64,Clothing
2025-10-24,transaction at spotify,912.39,Entertainment
2025-01-11,transaction at vodafone idea,2753.94,Bills
2025-08-11,transaction at oyo,1890.83,Travel
2025-06-03,transaction at chai point,392.84,Food
2025-01-19,transaction at nature's basket,2174.23,Grocery
2025-07-18,transaction at puma,5680.75,Clothing
2025-12-11,transaction at spotify,343.42,Entertainment
2025-04-09,transaction at us polo,5174.01,Clothing
2025-06-05,transaction at sony center,100827.11,Electronics
2025-05-22,transaction at jio fiber,1887.24,Bills
2025-11-20,transaction at aster,8174.74,Healthcare
2025-11-10,transaction at vodafone idea,5639.92,Bills
2025-06-18,transaction at wrogn,3592.34,Clothing
2025-05-23,transaction at pizza hut,1074.09,Food
2025-06-22,transaction at goibibo,3934.44,Travel
2025-08-16,transaction at taco bell,1079.24,Food
